total_sum;is_correct
43306;yes
-71905;yes
-10341;yes
28166;yes
-174285;yes
-26108;yes
-30613;yes
109637;yes
51333;yes
93015;yes
-24748;yes
-4129;yes
-68921;yes
96982;yes
21266;yes
-9254;yes
40044;yes
-16081;yes
-32957;yes
-52727;yes
-105945;yes
19770;yes
12773;yes
-65581;yes
-9439;yes
-26536;yes
-117773;yes
-64160;yes
-163497;yes
-171176;yes
-15581;yes
-39447;yes
-26313;yes
-17933;yes
86095;yes
-53916;yes
71127;yes
-91552;yes
127999;yes
-23276;yes
-41719;yes
-62971;yes
8045;yes
-89337;yes
119176;yes
87729;yes
-120008;yes
83899;yes
12279;yes
-101157;yes
-24431;yes
35705;yes
-92502;yes
-24925;yes
-141125;yes
91509;yes
-82830;yes
-153523;yes
19978;yes
-25998;yes
-55884;yes
45295;yes
-11196;yes
-59551;yes
12372;yes
129516;yes
35716;yes
111189;yes
37216;yes
17028;yes
33941;yes
-5679;yes
-117350;yes
79226;yes
1603;yes
-45860;yes
32769;yes
37767;yes
-127941;yes
15322;yes
-19;yes
109740;yes
60066;yes
-112442;yes
-11475;yes
-16209;yes
-46121;yes
58735;yes
-89962;yes
-3743;yes
3294;yes
-130552;yes
131011;yes
24495;yes
-10066;yes
-116974;yes
-39100;yes
-25329;yes
-138478;yes
88610;yes
-8226;yes
-109327;yes
-5372;yes
-103807;yes
36004;yes
-137415;yes
-107869;yes
118826;yes
-102526;yes
-8409;yes
-165530;yes
104884;yes
54250;yes
46036;yes
35031;yes
62730;yes
84375;yes
8778;yes
168354;yes
-114610;yes
-4531;yes
99074;yes
83092;yes
89022;yes
20799;yes
-38448;yes
-152129;yes
-137167;yes
-53629;yes
1491;yes
104600;yes
-45158;yes
-102184;yes
-59232;yes
-85400;yes
-100189;yes
14972;yes
116577;yes
-155467;yes
-50066;yes
12352;yes
-18646;yes
-126640;yes
-91485;yes
-74146;yes
-41864;yes
-57172;yes
-92862;yes
109455;yes
49752;yes
-78278;yes
140814;yes
-25291;yes
880;yes
29578;yes
107182;yes
-45717;yes
63013;yes
-10615;yes
-11915;yes
74915;yes
-86133;yes
-125339;yes
-9670;yes
-15348;yes
-87567;yes
-37947;yes
167490;yes
47214;yes
96328;yes
154429;yes
-65734;yes
-122649;yes
-10116;yes
49174;yes
-131007;yes
102466;yes
-48596;yes
-9934;yes
-50436;yes
73867;yes
-41425;yes
-18589;yes
